ticker,datetime,datetime_int,open,close,high,low,volumn
AAPL,2021-11-17 07:09,1637150940000,151.13,151.09,151.14,151.09,4059
AAPL,2021-11-17 07:10,1637151000000,151.11,151.02,151.11,151,6497
AAPL,2021-11-17 07:11,1637151060000,151.02,151,151.02,151,1586
AAPL,2021-11-17 07:12,1637151120000,151,151.05,151.05,150.99,2857
AAPL,2021-11-17 07:13,1637151180000,151.05,151.05,151.05,151.05,3987
AAPL,2021-11-17 07:14,1637151240000,151.05,151.05,151.05,151.05,2295
AAPL,2021-11-17 07:15,1637151300000,151.05,151.05,151.05,151.04,5637
AAPL,2021-11-17 07:16,1637151360000,151.05,151.05,151.05,151.05,1301
AAPL,2021-11-17 07:17,1637151420000,151.05,151.09,151.09,151.05,1205
AAPL,2021-11-17 07:18,1637151480000,151.09,151.09,151.09,151.09,580
AAPL,2021-11-17 07:19,1637151540000,151.09,151.08,151.09,151.08,1002
AAPL,2021-11-17 07:20,1637151600000,151.06,151.08,151.08,151.06,1101
AAPL,2021-11-17 07:21,1637151660000,151.09,151.05,151.09,151.04,2778
AAPL,2021-11-17 07:22,1637151720000,151.06,151.05,151.06,151.05,1567
AAPL,2021-11-17 07:23,1637151780000,151.08,151.08,151.08,151.08,1003
AAPL,2021-11-17 07:24,1637151840000,151.12,151.18,151.18,151.12,2650
AAPL,2021-11-17 07:25,1637151900000,151.17,151.15,151.17,151.15,1631
AAPL,2021-11-17 07:26,1637151960000,151.15,151.11,151.15,151.11,783
AAPL,2021-11-17 07:28,1637152080000,151.08,151.1,151.1,151.08,745
AAPL,2021-11-17 07:30,1637152200000,151.12,151.12,151.12,151.12,128
AAPL,2021-11-17 07:32,1637152320000,151.13,151.12,151.13,151.12,513
AAPL,2021-11-17 07:33,1637152380000,151.13,151.13,151.13,151.13,712
AAPL,2021-11-17 07:37,1637152620000,151.12,151.12,151.12,151.12,430
AAPL,2021-11-17 07:39,1637152740000,151.13,151.15,151.15,151.13,3732
AAPL,2021-11-17 07:41,1637152860000,151.15,151.18,151.18,151.12,4461
AAPL,2021-11-17 07:42,1637152920000,151.18,151.23,151.27,151.16,8445
AAPL,2021-11-17 07:43,1637152980000,151.23,151.211,151.23,151.211,1254
AAPL,2021-11-17 07:44,1637153040000,151.18,151.15,151.18,151.15,4096
AAPL,2021-11-17 07:45,1637153100000,151.15,151.14,151.16,151.14,1808
AAPL,2021-11-17 07:46,1637153160000,151.14,151.14,151.14,151.14,655
AAPL,2021-11-17 07:49,1637153340000,151.15,151.14,151.15,151.14,1787
AAPL,2021-11-17 07:50,1637153400000,151.14,151.13,151.14,151.13,698
AAPL,2021-11-17 07:51,1637153460000,151.13,151.15,151.15,151.13,845
AAPL,2021-11-17 07:53,1637153580000,151.14,151.13,151.14,151.13,2044
AAPL,2021-11-17 07:54,1637153640000,151.12,151.07,151.12,151.07,3289
AAPL,2021-11-17 07:55,1637153700000,151.07,151.06,151.07,151.06,673
AAPL,2021-11-17 07:58,1637153880000,151.06,151.06,151.06,151.06,524
AAPL,2021-11-17 08:00,1637154000000,151.0363,151.07,151.24,151,51834
AAPL,2021-11-17 08:01,1637154060000,151.07,151.04,151.07,150.623,3054
AAPL,2021-11-17 08:02,1637154120000,151.05,151.05,151.05,151.05,853
AAPL,2021-11-17 08:03,1637154180000,151.05,151.02,151.05,151.01,2533
AAPL,2021-11-17 08:04,1637154240000,151,150.98,151,150.98,3374
AAPL,2021-11-17 08:05,1637154300000,150.99,150.93,150.99,150.92,8228
AAPL,2021-11-17 08:06,1637154360000,150.93,150.95,150.95,150.92,5069
AAPL,2021-11-17 08:07,1637154420000,150.97,150.95,150.97,150.95,2183
AAPL,2021-11-17 08:08,1637154480000,150.95,150.94,150.95,150.94,4697
AAPL,2021-11-17 08:09,1637154540000,150.94,150.9301,150.95,150.93,3104
AAPL,2021-11-17 08:10,1637154600000,150.93,151,151,150.92,6221
AAPL,2021-11-17 08:11,1637154660000,151,150.95,151.009,150.95,1391
AAPL,2021-11-17 08:12,1637154720000,150.94,150.86,150.94,150.86,3329
AAPL,2021-11-17 08:13,1637154780000,150.88,150.81,150.88,150.77,6095
AAPL,2021-11-17 08:14,1637154840000,150.84,150.85,150.85,150.8,2098
AAPL,2021-11-17 08:15,1637154900000,150.81,150.81,150.87,150.81,7191
AAPL,2021-11-17 08:16,1637154960000,150.81,150.84,150.84,150.81,9439
AAPL,2021-11-17 08:17,1637155020000,150.8501,150.8501,150.8501,150.8501,424
AAPL,2021-11-17 08:18,1637155080000,150.88,150.88,150.88,150.88,613
AAPL,2021-11-17 08:19,1637155140000,150.85,150.85,150.85,150.85,485
AAPL,2021-11-17 08:20,1637155200000,150.88,150.9,150.9,150.85,2599
AAPL,2021-11-17 08:21,1637155260000,150.91,150.96,150.96,150.91,2182
AAPL,2021-11-17 08:22,1637155320000,150.97,150.97,150.97,150.95,756
AAPL,2021-11-17 08:23,1637155380000,150.98,150.98,150.98,150.97,1684
AAPL,2021-11-17 08:24,1637155440000,150.96,150.97,150.97,150.96,1583
AAPL,2021-11-17 08:25,1637155500000,150.95,150.91,150.95,150.9,5461
AAPL,2021-11-17 08:26,1637155560000,150.92,150.93,150.95,150.92,2783
AAPL,2021-11-17 08:27,1637155620000,150.93,150.94,150.95,150.93,1105
AAPL,2021-11-17 08:28,1637155680000,150.98,150.9,150.98,150.9,494
AAPL,2021-11-17 08:29,1637155740000,150.92,150.92,150.92,150.92,299
AAPL,2021-11-17 08:31,1637155860000,151,150.99,151,150.99,2849
AAPL,2021-11-17 08:32,1637155920000,151,151.05,151.05,150.99,2475
AAPL,2021-11-17 08:33,1637155980000,151.0401,151.07,151.08,151.0401,2937
AAPL,2021-11-17 08:34,1637156040000,151.06,151.03,151.06,151.01,4000
AAPL,2021-11-17 08:35,1637156100000,151.03,151.04,151.04,151.03,1660
AAPL,2021-11-17 08:36,1637156160000,151.03,151.03,151.03,151.03,970
